filename,class,environment
277266__rsn267__kinetic-honda.mp3,Motorcycle Engine ,unknown
667592__yoyodaman234__motorbike-driveby-and-backfire.mp3,Motorcycle Engine ,unknown
414246__thestuntman64__moroccobike.mp3,Motorcycle Engine ,unknown
704571__mudflea2__motorbike-passes-by-twice.mp3,Motorcycle Engine ,unknown
378340__13fpanska_mikova_adela__13fmikovaa_jawa-turovani.mp3,Motorcycle Engine ,unknown
378347__13fpanska_mikova_adela__13fmikovaa_simson-volnobeh.mp3,Motorcycle Engine ,unknown
726612__romanotercero__motorz.mp3,Motorcycle Engine ,unknown
632218__golovlevsound__motorcycle-bmw-engine-rev-underground-garage.mp3,Motorcycle Engine ,unknown
571336__maciejadach__motorcycle-sound.mp3,Motorcycle Engine ,unknown
188006__motion_s__motorbike-engine-passing.mp3,Motorcycle Engine ,unknown
517605__richwise__single-cylinder-motorcycle-exhaust-through-contact-mics.mp3,Motorcycle Engine ,unknown
378338__13fpanska_mikova_adela__13fmikovaa_-jawa-turovani-2.mp3,Motorcycle Engine ,unknown
362940__alexanderche__ignition-engine-start-idle-stop-motorcycle-bike-cb400-vtec-3.mp3,Motorcycle Engine ,unknown
640449__iainmccurdy__motorbike.mp3,Motorcycle Engine ,unknown
724080__brucehep__motorcycle-startup-and-idle.mp3,Motorcycle Engine ,unknown
651750__overmedium__motorbike-throttling1.mp3,Motorcycle Engine ,unknown
367487__timsc__motorbike-driving-away.mp3,Motorcycle Engine ,unknown
22615__erdie__bike3.mp3,Motorcycle Engine ,unknown
574220__emilycompton__motorbike-outside.mp3,Motorcycle Engine ,outdoor
734120__sadiquecat__bandit650s-leovince-motorbike.mp3,Motorcycle Engine ,unknown
378341__13fpanska_mikova_adela__13fmikovaa_jawa-startovani.mp3,Motorcycle Engine ,unknown
40624__acclivity__boyracer.mp3,Motorcycle Engine ,unknown
362851__nakhas__old-motorbike-ride.mp3,Motorcycle Engine ,unknown
518172__cmart94__motorcycle-engine_40km.mp3,Motorcycle Engine ,unknown
24332__charel-sytze__motorbike.mp3,Motorcycle Engine ,unknown
715247__joao44__honda-motorcycle-engine.mp3,Motorcycle Engine ,unknown
328218__nakhas__old-motorbike-engine.mp3,Motorcycle Engine ,unknown
610576__dannyah__bunyi-no5-motor-lewat.mp3,Motorcycle Engine ,unknown
362941__alexanderche__ignition-engine-start-idle-motorcycle-bike-cb400-vtec-3.mp3,Motorcycle Engine ,unknown
788691__kvv_audio__vehmoto_vehicle-engine-motorcycle-pass-by-01_kvv-audio_free.mp3,Motorcycle Engine ,vehicle
654053__overmedium__motorbike-driveby.mp3,Motorcycle Engine ,unknown
378335__13fpanska_mikova_adela__13fmikovaa_jawa-motor.mp3,Motorcycle Engine ,unknown
515105__alopezdesign__start-up-engine-crf1000-africa-twin.mp3,Motorcycle Engine ,unknown
441859__yarmonics__mcycle_1-motorcycle-driving-away.mp3,Motorcycle Engine ,unknown
197106__musicradiocreative__motorbike-passing-by.mp3,Motorcycle Engine ,unknown
515106__alopezdesign__start-up-engine-crf1000-africa-twin-2.mp3,Motorcycle Engine ,unknown
alarm-clock-short-6402.mp3,Alarm Clock Ringing,unknown
clock-24340.mp3,Alarm Clock Ringing,unknown
clock-clock-sound-clock-clock-time-10343.mp3,Alarm Clock Ringing,unknown
tower-clock-chimewestminster-187254.mp3,Alarm Clock Ringing,unknown
013153_xylophone-clock-57998.mp3,Alarm Clock Ringing,unknown
vintage-clock-sfx-311393.mp3,Alarm Clock Ringing,unknown
alarm-clock-90867.mp3,Alarm Clock Ringing,unknown
one-minute-mechanical-clock-ticking-sound-effect-253099.mp3,Alarm Clock Ringing,unknown
clock-noise-188047.mp3,Alarm Clock Ringing,unknown
vibratetimeeffect4-37261.mp3,Alarm Clock Ringing,unknown
clock-bell-chimes-78190.mp3,Alarm Clock Ringing,unknown
alarm-clock-70648.mp3,Alarm Clock Ringing,unknown
clock-strike-64020.mp3,Alarm Clock Ringing,unknown
clock-26843.mp3,Alarm Clock Ringing,unknown
clock-chime-88027.mp3,Alarm Clock Ringing,unknown
dramatic-ticking-clock-45736.mp3,Alarm Clock Ringing,unknown
clock-tick-35074.mp3,Alarm Clock Ringing,unknown
small-clock-twelve-ox27clock-306407.mp3,Alarm Clock Ringing,public
clock-bell-chimes-78190 (1).mp3,Alarm Clock Ringing,unknown
wall-clock-ticking-308746.mp3,Alarm Clock Ringing,unknown
clock-70484.mp3,Alarm Clock Ringing,unknown
cuckoo-clock-64213.mp3,Alarm Clock Ringing,unknown
clock-ticking-sound-effect-297502.mp3,Alarm Clock Ringing,unknown
