filename,category,environment
toaster-74403.mp3,toaster-74403.mp3,Indoor
415912__okieactor__heathers-gunshot-effect2.wav,415912,Indoor
wind-2-44150.mp3,wind-2-44150.mp3,Indoor
keyboard-41412.mp3,keyboard-41412.mp3,Indoor
749352__wateenfotos__barking-ines-3.wav,749352,Indoor
paper-rustle-81855.mp3,paper-rustle-81855.mp3,Indoor
tap-notification-180637.mp3,tap-notification-180637.mp3,Indoor
filling-the-bath-03-75958.mp3,filling-the-bath-03-75958.mp3,Indoor
594410__cashcarlo__male-sneezing-softly.wav,594410,Indoor
144473__panikko__baby-crying.wav,144473,Indoor
414246__thestuntman64__moroccobike.wav,414246,Indoor
newspaper rustle-196724.mp3,newspaper rustle-196724.mp3,Indoor
kids-hand-claps-45358.mp3,kids-hand-claps-45358.mp3,Indoor
zapsplat_household_broom_stiff_brush_wet_sweep_concrete_005_97612.mp3,zapsplat,Indoor
footsteps-on-tiled-bathroom-22758.mp3,footsteps-on-tiled-bathroom-22758.mp3,"Bathroom, Kitchen"
104643__longshot__coffee-machine.wav,104643,Indoor
724080__brucehep__motorcycle-startup-and-idle.mp3,724080,Indoor
442655__josephvm__baby-girl-crying.wav,442655,Indoor
tv-static-7019.mp3,tv-static-7019.mp3,Indoor
371833__iamgiorgio__j1_car_horn.mp3,371833,Indoor
stationair_ijskast_lr-31816.mp3,stationair,Indoor
microwave-door Microwave door closing-326196.mp3,microwave-door Microwave door closing-326196.mp3,Indoor
shower-running-27068.mp3,shower-running-27068.mp3,Indoor
Open Oven Door 2 - QuickSounds.com.mp3,Open Oven Door 2 - QuickSounds.com.mp3,Indoor
light-switch-turn-on-47753.mp3,light-switch-turn-on-47753.mp3,Indoor
hair-dryer-3-100303.mp3,hair-dryer-3-100303.mp3,Indoor
soda-can-opening-92488.mp3,soda-can-opening-92488.mp3,Indoor
child-laughter-2-186729.mp3,child-laughter-2-186729.mp3,Indoor
381434__dianalsousa310599__caes-a-ladrar.wav,381434,Indoor
shower-78378.mp3,shower-78378.mp3,Indoor
person-knocking-18474.mp3,person-knocking-18474.mp3,Indoor
opening-beer-can-6336.mp3,opening-beer-can-6336.mp3,Indoor
dry-footsteps-39567.mp3,dry-footsteps-39567.mp3,Indoor
electric-toothbrush-99780.mp3,electric-toothbrush-99780.mp3,Indoor
257920__erikschenkel__sneeze-2.wav,257920,Indoor
252901__kijjaz__20141026-bangkok-house-rain-03.wav,252901,Indoor
hyacinthe_hand-washing-paper-towel-trashing_edited-60413.mp3,hyacinthe,Indoor
fire-sound-310285.mp3,fire-sound-310285.mp3,Indoor
-click-sounds-27527.mp3,-click-sounds-27527.mp3,Indoor
washing-machine-90458.mp3,washing-machine-90458.mp3,Indoor
washing-machine-20067.mp3,washing-machine-20067.mp3,Indoor
toaster-37635.mp3,toaster-37635.mp3,Indoor
oven-opening-89905.mp3,oven-opening-89905.mp3,Indoor
tap on mirror.mp3,tap on mirror.mp3,Indoor
car-crash-69236.mp3,car-crash-69236.mp3,"Road, Outdoor"
washingmachine-23215.mp3,washingmachine-23215.mp3,Indoor
washing-machine-spinning-and-pumping-out-57473.mp3,washing-machine-spinning-and-pumping-out-57473.mp3,Indoor
winter-wind-305577.mp3,winter-wind-305577.mp3,Indoor
food-cooking-in-frying-pan-71250.mp3,food-cooking-in-frying-pan-71250.mp3,Indoor
drawer close-104228.mp3,drawer close-104228.mp3,Indoor
newspaper rustle-196722.mp3,newspaper rustle-196722.mp3,Indoor
3d-printer-79587.mp3,3d-printer-79587.mp3,Indoor
241276__martian__080823-000-isla-crying.mp3,241276,Indoor
house-fire-or-burglar-alarm-with-ending-36587.mp3,house-fire-or-burglar-alarm-with-ending-36587.mp3,Indoor
writing-89431.mp3,writing-89431.mp3,Indoor
the-mechanical-wall-clock-ticks-one-minute-253101.mp3,the-mechanical-wall-clock-ticks-one-minute-253101.mp3,Indoor
tv-shut-down-185446.mp3,tv-shut-down-185446.mp3,Indoor
garage-door-1-184007.mp3,garage-door-1-184007.mp3,Indoor
chiptune-alarm-clock-112869.mp3,chiptune-alarm-clock-112869.mp3,Indoor
metal-chair-86673.mp3,metal-chair-86673.mp3,Indoor
applause-in-the-theater-59028.mp3,applause-in-the-theater-59028.mp3,Indoor
microwave-door-close1-85004.mp3,microwave-door-close1-85004.mp3,Indoor
dingdong4-89792.mp3,dingdong4-89792.mp3,Indoor
615520__rouak__filling-kettle-and-boiling-water-in-an-electric-kettle.wav,615520,Indoor
notification-alert-269289.mp3,notification-alert-269289.mp3,Indoor
book-dropped-onto-carpet-101474.mp3,book-dropped-onto-carpet-101474.mp3,"Road, Outdoor"
printer-77963.mp3,printer-77963.mp3,Indoor
metal-chair-on-hardwood-floor-56517.mp3,metal-chair-on-hardwood-floor-56517.mp3,Indoor
128296__xenonn__layered-gunshot-0.wav,128296,Indoor
small-wind-272153.mp3,small-wind-272153.mp3,Indoor
female-sensual-laughter-218077.mp3,female-sensual-laughter-218077.mp3,Indoor
garbage-crash-garbage_disposal-bags-55506.mp3,garbage-crash-garbage,Indoor
great-grandma-childspoken-204924.mp3,great-grandma-childspoken-204924.mp3,Indoor
coughing-cough-89784.mp3,coughing-cough-89784.mp3,Indoor
reverberant-door-slamming-80900.mp3,reverberant-door-slamming-80900.mp3,Indoor
drawer close-86248.mp3,drawer close-86248.mp3,Indoor
253391__jmayoff__automatic-coffee-machine.wav,253391,Indoor
fan-ventilador-277725.mp3,fan-ventilador-277725.mp3,Indoor
child-laughing-90664.mp3,child-laughing-90664.mp3,Indoor
sliding-noise-v2-83483.mp3,sliding-noise-v2-83483.mp3,Indoor
keyboard-153960.mp3,keyboard-153960.mp3,Indoor
an-oscillating-fan-23785.mp3,an-oscillating-fan-23785.mp3,Indoor
double-laughter-2-76180.mp3,double-laughter-2-76180.mp3,Indoor
glass-clink-pack-62708.mp3,glass-clink-pack-62708.mp3,Indoor
firealarmeffect-90583.mp3,firealarmeffect-90583.mp3,Indoor
bathtub-71159.mp3,bathtub-71159.mp3,Indoor
printer-sound-effect-63732.mp3,printer-sound-effect-63732.mp3,Indoor
electric-heater-66231.mp3,electric-heater-66231.mp3,Indoor
shaving-33010.mp3,shaving-33010.mp3,Indoor
close-drawer-104761 (1).mp3,close-drawer-104761 (1).mp3,Indoor
stirring-a-cup-of-coffee-193831.mp3,stirring-a-cup-of-coffee-193831.mp3,Indoor
garage-door-2-184008.mp3,garage-door-2-184008.mp3,Indoor
610288__theblockofsound235__intermittent-horn.mp3,610288,Indoor
refrigerator-47487.mp3,refrigerator-47487.mp3,Indoor
laundromat-ambience-23810.mp3,laundromat-ambience-23810.mp3,Indoor
electric-wall-heater-271524.mp3,electric-wall-heater-271524.mp3,Indoor
oscillating-fan-72370.mp3,oscillating-fan-72370.mp3,Indoor
refrigerator-4-33749.mp3,refrigerator-4-33749.mp3,Indoor
734120__sadiquecat__bandit650s-leovince-motorbike.wav,734120,Indoor
bath-filling-1-53420.mp3,bath-filling-1-53420.mp3,Indoor
cooking-frying-1-71871 (1).mp3,cooking-frying-1-71871 (1).mp3,Indoor
newspaper rustle-196726.mp3,newspaper rustle-196726.mp3,Indoor
click-198475.mp3,click-198475.mp3,Indoor
417681__arnaud-coutancier__coffee-machine.wav,417681,Indoor
317665__peacewaves__pan_boiling_water.wav,317665,Indoor
closing-bathroom-vanity-drawer-80335.mp3,closing-bathroom-vanity-drawer-80335.mp3,"Bathroom, Kitchen"
568108__tgerginov__open-and-close-creaking-door.wav,568108,Indoor
house-door-closing-274412.mp3,house-door-closing-274412.mp3,Indoor
analog-crt-tv-electronic-static-noise-60428.mp3,analog-crt-tv-electronic-static-noise-60428.mp3,Indoor
coughing-sound-effect-type-09-294173.mp3,coughing-sound-effect-type-09-294173.mp3,Indoor
washing-machine-on-wash-cycle1-230926.mp3,washing-machine-on-wash-cycle1-230926.mp3,Indoor
walking-down-the-stairs-81290.mp3,walking-down-the-stairs-81290.mp3,Indoor
pen-writing-on-paper-71212.mp3,pen-writing-on-paper-71212.mp3,Indoor
footsteps-tap-35682.mp3,footsteps-tap-35682.mp3,Indoor
sick-coughing-277780.mp3,sick-coughing-277780.mp3,Indoor
opening-soda-can-1-104791.mp3,opening-soda-can-1-104791.mp3,Indoor
hairdryer-103914.mp3,hairdryer-103914.mp3,Indoor
washing_machine_close-70401.mp3,washing,Indoor
